lamp_type_lupvalue,lamp_rating_w,Latitude,Longitude
3.0,36.0,-37.8177093,144.9499024
3.0,36.0,-37.8177458,144.9495233
1.0,,-37.81424529,144.9474132
9.0,,-37.81904375,144.9729869
,,-37.81923123,144.9433495
12.0,,-37.82346463,144.9472793
9.0,,-37.82247448,144.945254
9.0,,-37.81039889,144.9640959
9.0,,-37.81300733,144.9652982
12.0,,-37.82360042,144.9473515
9.0,,-37.81205484,144.9800032
1.0,20.0,-37.81312032,144.942144
3.0,21.0,-37.82458787,144.9454541
9.0,,-37.82096125,144.9615861
9.0,,-37.81713997,144.9451362
,70.0,-37.82136693,144.9619473
9.0,,-37.819184,144.9435117
9.0,,-37.80243038,144.9632129
2.0,14.0,-37.82280455,144.951615
1.0,,-37.81504072,144.9411411
5.0,35.0,-37.82394715,144.9476518
5.0,70.0,-37.81381081,144.942303
12.0,,-37.82387421,144.947207
,,-37.81414004,144.9438809
9.0,,-37.81937018,144.9745875
1.0,50.0,-37.81818884,144.9450497
9.0,,-37.81166915,144.9681086
9.0,,-37.81873051,144.9740174
5.0,70.0,-37.81636038,144.945401
9.0,,-37.81973025,144.9674709
,,-37.81836518,144.9445609
13.0,14.0,-37.82021863,144.9463579
13.0,70.0,-37.82422957,144.9443884
1.0,,-37.82118636,144.9324606
13.0,14.0,-37.816374,144.9671745
1.0,,-37.81599367,144.9398514
1.0,18.0,-37.82462014,144.9466201
9.0,,-37.82247514,144.9454091
13.0,70.0,-37.8242947,144.9449858
,14.0,-37.78684347,144.941837
13.0,14.0,-37.82131085,144.9616089
13.0,70.0,-37.81494036,144.9442743
,,-37.82374757,144.952091
3.0,36.0,-37.81752845,144.9500158
5.0,70.0,-37.82510634,144.9463647
2.0,14.0,-37.82277065,144.9516553
9.0,,-37.82263567,144.9460219
2.0,14.0,-37.82291155,144.9515399
9.0,,-37.80256495,144.9661338
13.0,14.0,-37.81633268,144.9671128
1.0,50.0,-37.81525598,144.9443016
5.0,70.0,-37.82348163,144.9431058
13.0,150.0,-37.8226881,144.9697182
13.0,35.0,-37.82314367,144.9472892
1.0,,-37.81432017,144.9427156
3.0,36.0,-37.81763848,144.9487532
5.0,70.0,-37.81517135,144.9416053
9.0,,-37.78690304,144.9415439
12.0,,-37.82279947,144.9471772
,,-37.825026,144.947042
9.0,,-37.78694963,144.9416021
2.0,125.0,-37.82035495,144.9639969
4.0,150.0,-37.82121668,144.9546412
13.0,14.0,-37.81116346,144.9699037
1.0,14.0,-37.81910096,144.9655263
9.0,,-37.82250886,144.9454178
13.0,70.0,-37.8198824,144.96682
13.0,70.0,-37.83230422,144.9730204
13.0,70.0,-37.81512912,144.9414712
13.0,14.0,-37.81086785,144.9671155
13.0,14.0,-37.81556352,144.9669237
13.0,35.0,-37.82331285,144.9472295
13.0,14.0,-37.81081594,144.96709
,,-37.82376817,144.9521006
1.0,,-37.81741605,144.9523244
12.0,,-37.82320195,144.9472199
13.0,70.0,-37.81455841,144.9407038
3.0,14.0,-37.82363353,144.9433358
9.0,,-37.8184814,144.9737975
2.0,250.0,-37.81916608,144.9354293
9.0,,-37.81929545,144.9745211
1.0,500.0,-37.81616002,144.9433354
1.0,,-37.82104731,144.9330367
9.0,,-37.78705226,144.9412792
1.0,,-37.81456789,144.9427506
16.0,,-37.82311397,144.9481715
9.0,3.0,-37.81235507,144.9657553
1.0,,-37.81498529,144.941236
9.0,8.0,-37.82403233,144.9473932
,,-37.81947636,144.9651314
1.0,,-37.81529834,144.9407198
13.0,70.0,-37.82117207,144.9625383
9.0,,-37.81930375,144.9745285
9.0,,-37.82245534,144.9452999
9.0,,-37.81934354,144.9745011
13.0,35.0,-37.82292176,144.9471153
13.0,35.0,-37.82355491,144.9473652
9.0,,-37.80243992,144.9632987
1.0,50.0,-37.81038365,144.9807908
13.0,35.0,-37.81989021,144.9747209
12.0,,-37.82369584,144.9472711
12.0,,-37.8239095,144.9473377
9.0,,-37.82307998,144.9418679
9.0,,-37.78647029,144.9424707
13.0,35.0,-37.8112567,144.9693659
16.0,,-37.82288678,144.947862
13.0,35.0,-37.82282668,144.9470873
9.0,,-37.81949135,144.9746313
13.0,35.0,-37.82394139,144.9473786
12.0,,-37.82322794,144.9472278
13.0,70.0,-37.82420777,144.9441928
10.0,14.0,-37.82460014,144.9454886
9.0,,-37.8200523,144.9650127
9.0,,-37.81933533,144.9744939
9.0,,-37.81523613,144.9416849
5.0,70.0,-37.81857823,144.9465107
9.0,,-37.82356728,144.9708559
1.0,18.0,-37.82333225,144.9430584
1.0,500.0,-37.81603115,144.9437096
13.0,14.0,-37.82024935,144.9463753
9.0,,-37.7870191,144.941338
13.0,35.0,-37.81700988,144.9453005
1.0,50.0,-37.81731517,144.9452019
1.0,4.0,-37.81491037,144.9422191
,,-37.82030155,144.9452777
9.0,,-37.81267293,144.9651266
3.0,36.0,-37.8177878,144.9490966
13.0,70.0,-37.81960679,144.9526877
3.0,14.0,-37.81126729,144.9692935
9.0,,-37.80994028,144.9638831
9.0,,-37.82239593,144.9453361
1.0,,-37.81245818,144.9739659
1.0,,-37.82102148,144.9328105
12.0,,-37.82292187,144.9472119
9.0,,-37.81447156,144.9433809
13.0,35.0,-37.82340878,144.9473552
13.0,70.0,-37.81998238,144.9660829
12.0,,-37.82287283,144.9471202
13.0,35.0,-37.82369008,144.9473664
,,-37.81437352,144.9428953
12.0,,-37.82397213,144.9472827
16.0,,-37.82314744,144.9486187
9.0,,-37.81841728,144.9736698
2.0,80.0,-37.81880644,144.9674562
,,-37.81876235,144.9440213
3.0,14.0,-37.82209472,144.9446324
5.0,70.0,-37.81953298,144.9529444
1.0,,-37.81635586,144.9436074
12.0,,-37.82301804,144.9472392
1.0,50.0,-37.81521717,144.9410181
12.0,,-37.82321913,144.9472962
3.0,14.0,-37.8233098,144.94304
13.0,35.0,-37.82401251,144.9473217
3.0,36.0,-37.81773586,144.9496307
,,-37.82495778,144.9447794
9.0,,-37.81841734,144.9737409
9.0,8.0,-37.82397557,144.9437719
,35.0,-37.81913221,144.9743877
12.0,,-37.82386828,144.947256
12.0,,-37.82335963,144.9473322
9.0,,-37.81041799,144.9641039
9.0,,-37.81832759,144.9711455
3.0,36.0,-37.81751628,144.9498785
13.0,14.0,-37.81177374,144.9678625
9.0,,-37.82359059,144.9708626
3.0,,-37.82040932,144.945336
4.0,150.0,-37.81172068,144.9460555
12.0,,-37.81492496,144.9417111
13.0,70.0,-37.82338552,144.951898
5.0,70.0,-37.81950899,144.9537778
13.0,35.0,-37.82313306,144.9471776
,14.0,-37.78680955,144.9419088
1.0,,-37.82134661,144.9324335
1.0,50.0,-37.81448832,144.9428696
9.0,,-37.81901091,144.9730767
9.0,,-37.81469697,144.9417426
5.0,70.0,-37.81715432,144.945266
9.0,,-37.81848133,144.9737263
,,-37.82497128,144.9453928
5.0,70.0,-37.8249514,144.9447166
9.0,,-37.81157973,144.9684104
13.0,14.0,-37.82019868,144.9447891
1.0,,-37.81615315,144.9392317
13.0,150.0,-37.82294596,144.9702922
5.0,35.0,-37.81504662,144.9411561
12.0,,-37.82393872,144.9473654
9.0,10.0,-37.8245695,144.9469303
5.0,70.0,-37.82465927,144.9456864
9.0,,-37.82260052,144.9458545
1.0,20.0,-37.82379112,144.9475905
9.0,,-37.82251459,144.945445
12.0,,-37.82383587,144.9472748
3.0,36.0,-37.81761104,144.9490358
5.0,70.0,-37.82496168,144.9459747
5.0,35.0,-37.81699424,144.9453239
9.0,,-37.81870915,144.9739986
13.0,35.0,-37.82402704,144.9472303
3.0,36.0,-37.81774015,144.9495856
13.0,70.0,-37.81487124,144.9415609
3.0,21.0,-37.82464911,144.9455266
1.0,150.0,-37.81364108,144.9503168
,,-37.82422135,144.9523116
9.0,,-37.81935175,144.9745084
9.0,,-37.82243163,144.9454025
1.0,,-37.81528168,144.9416912
1.0,,-37.81481786,144.9417234
13.0,14.0,-37.81634116,144.9671236
,,-37.81582429,144.9394386
1.0,,-37.81786464,144.9507549
,,-37.8240335,144.9520441
13.0,14.0,-37.81074919,144.9671839
1.0,,-37.81239779,144.9739806
13.0,70.0,-37.81934833,144.9535842
9.0,,-37.81424569,144.9435438
